VendorID,tpep_pickup_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,pickup_borough,payment_type,fare_amount,mta_tax,improvement_surcharge,congestion_surcharge,tolls_amount,tip_amount,total_amount
1,2024-01-07 17:11:43,6,1.22,43,2,Manhattan,1,12.45,0.5,1.0,2.75,0.0,2.42,19.12
2,2024-01-25 16:25:09,2,2.63,43,53,Queens,1,14.02,0.5,1.0,0.0,0.0,3.38,18.9
2,2024-01-27 15:03:57,1,1.98,214,88,Manhattan,2,10.49,0.5,1.0,2.75,0.0,0.11,14.85
2,2024-01-20 19:44:09,5,8.56,210,48,Queens,1,28.26,0.5,1.0,0.0,0.0,3.82,33.58
2,2024-01-21 19:18:05,1,1.25,240,142,Manhattan,1,7.21,0.5,1.0,2.75,0.0,1.55,13.01
1,2024-01-18 07:53:32,3,2.32,119,240,Manhattan,1,15.03,0.5,1.0,2.75,0.0,3.15,22.43
2,2024-01-07 23:59:51,1,2.84,216,42,Manhattan,1,12.37,0.5,1.0,2.75,0.0,2.78,19.4
1,2024-01-01 13:51:58,3,2.97,243,30,Manhattan,1,14.89,0.5,1.0,2.75,0.0,3.26,22.4
1,2024-01-11 17:14:22,1,1.65,81,6,Queens,1,10.67,0.5,1.0,0.0,0.0,1.68,13.85
1,2024-01-22 13:10:49,1,5.06,166,97,Manhattan,2,18.82,0.5,1.0,2.75,0.0,0.11,23.18
1,2024-01-24 09:39:04,2,2.25,258,222,Manhattan,1,14.08,0.5,1.0,2.75,0.0,3.47,21.8
2,2024-01-21 09:35:21,6,1.71,14,96,Brooklyn,2,8.89,0.5,1.0,0.0,0.0,0.24,10.63
1,2024-01-08 13:11:52,4,1.7,8,155,Staten Island,1,7.46,0.5,1.0,0.0,0.0,1.86,10.82
1,2024-01-17 19:26:12,2,2.22,95,170,Brooklyn,1,12.16,0.5,1.0,0.0,0.0,2.56,16.22
1,2024-01-11 05:52:06,2,2.57,251,155,Queens,1,8.05,0.5,1.0,0.0,0.0,1.92,11.47
1,2024-01-20 07:58:04,1,10.3,181,105,JFK Airport,1,69.52,0.5,1.0,0.0,6.94,8.13,86.09
2,2024-01-16 18:32:38,1,15.94,159,182,JFK Airport,1,69.1,0.5,1.0,0.0,0.0,7.66,78.26
2,2024-01-25 20:40:11,2,2.54,97,190,Manhattan,1,11.77,0.5,1.0,2.75,0.0,2.37,18.39
1,2024-01-18 12:22:23,6,5.41,14,115,Queens,1,17.15,0.5,1.0,0.0,0.0,2.76,21.41
1,2024-01-05 18:32:59,5,1.25,263,38,Bronx,2,9.3,0.5,1.0,0.0,0.0,0.06,10.86
2,2024-01-05 00:45:20,3,11.73,240,134,Bronx,1,39.38,0.5,1.0,0.0,0.0,7.7,48.58
2,2024-01-25 12:28:49,2,0.86,169,43,Manhattan,1,8.96,0.5,1.0,2.75,0.0,2.22,15.43
2,2024-01-10 12:46:47,1,1.47,228,157,Manhattan,1,10.58,0.5,1.0,2.75,0.0,1.58,16.41
1,2024-01-12 07:51:39,1,1.96,130,24,Brooklyn,1,9.63,0.5,1.0,0.0,0.0,2.25,13.38
2,2024-01-15 11:39:26,2,2.55,26,56,Queens,1,8.29,0.5,1.0,0.0,0.0,1.99,11.78
2,2024-01-10 09:59:01,2,1.86,263,185,Brooklyn,1,7.89,0.5,1.0,0.0,0.0,1.56,10.95
2,2024-01-19 17:05:05,4,2.38,117,253,Manhattan,2,14.06,0.5,1.0,2.75,0.0,0.38,18.69
2,2024-01-12 09:10:51,6,2.58,83,167,Manhattan,2,16.13,0.5,1.0,2.75,0.0,0.4,20.78
1,2024-01-07 08:47:30,3,2.32,208,183,Manhattan,1,11.66,0.5,1.0,2.75,0.0,2.69,18.6
1,2024-01-03 07:48:48,5,1.86,8,32,Brooklyn,1,10.13,0.5,1.0,0.0,0.0,1.91,13.54
2,2024-01-28 08:38:46,2,2.71,137,221,Manhattan,2,10.56,0.5,1.0,2.75,0.0,0.01,14.82
1,2024-01-09 14:50:21,1,6.88,34,49,Manhattan,1,24.35,0.5,1.0,2.75,0.0,5.67,34.27
1,2024-01-25 08:02:57,2,3.17,121,168,Brooklyn,2,12.82,0.5,1.0,0.0,0.0,0.16,14.48
